TimeStamp;TimeStamp(Tool);Valid_Tool0;X_Tool0;Y_Tool0;Z_Tool0;QX_Tool0;QY_Tool0;QZ_Tool0;QR_Tool0
294040.92;294040.9;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
294150.12;294150.1;1;0.3600000143;-100.0400009;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
294259.3;294259.27;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
294368.51;294368.48;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
294477.68;294477.65;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
294586.96;294586.93;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
294696.07;294696.04;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
294805.33;294805.3;1;0.3600000143;-100.0400009;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
294914.46;294914.43;1;0.3600000143;-100.0400009;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
295023.56;295023.54;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295132.76;295132.73;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295242.06;295242.03;1;0.3400000036;-100.0299988;-86.93000031;-0.009800000116;-0.008999999613;0;0.9998999834
295351.23;295351.21;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295460.52;295460.49;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295569.63;295569.6;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295678.94;295678.91;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295788.01;295787.99;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
295897.2;295897.18;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296006.4;296006.38;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296115.58;296115.56;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296224.78;296224.75;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296334.06;296334.03;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296443.14;296443.11;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296552.35;296552.33;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296661.68;296661.66;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296770.75;296770.72;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
296880.14;296880.11;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
296989.1;296989.07;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297098.3;297098.28;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297207.51;297207.49;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297316.71;297316.69;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
297425.95;297425.92;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297535.07;297535.04;1;0.349999994;-100.0400009;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
297644.27;297644.25;1;0.3600000143;-100.0500031;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
297753.58;297753.54;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297862.68;297862.66;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
297971.91;297971.88;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298081.05;298081.02;1;0.349999994;-100.0199966;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
298190.32;298190.29;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298299.43;298299.41;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298408.62;298408.59;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298517.82;298517.79;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298627.07;298627.04;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
298736.21;298736.19;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
298845.42;298845.39;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
298954.6;298954.58;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
299063.84;299063.81;1;0.349999994;-100.0400009;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
299173.1;299173.07;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
299282.15;299282.13;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
299391.57;299391.54;1;0.349999994;-100.0199966;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
299500.56;299500.53;1;0.349999994;-100.0299988;-86.91999817;-0.009800000116;-0.008999999613;0;0.9998999834
299609.76;299609.73;1;0.349999994;-100.0299988;-86.91000366;-0.009800000116;-0.008999999613;0;0.9998999834
